,4. close
0,183.81
1,186.17
2,183.7
3,182.59
4,179.71
5,188.45
6,185.37
7,187.85
8,190.16
9,185.15
10,184.51
11,181.73
12,189.02
13,192.73
14,194.23
15,197.04
16,195.94
17,199.75
18,200.71
19,204.66
20,202.36
21,202.32
22,198.36
23,200.78
24,201.8
25,203.84
26,203.91
27,204.87
28,201.23
29,202.73
30,199.21
31,195.76
32,196.4
33,197.2
34,195.0
35,193.0
36,193.0
37,189.5
38,187.66
39,188.84
40,192.6
41,191.14
42,189.53
43,187.48
44,188.47
45,189.01
46,181.33
47,177.47
48,175.04
49,178.1
50,174.82
51,173.35
52,168.33
53,168.17
54,167.5
55,164.15
56,177.47
57,183.01
58,182.19
59,184.31
60,181.06
61,180.87
62,185.32
63,184.82
64,182.72
65,185.3
66,186.99
67,186.27
68,180.73
69,181.54
70,188.34
71,188.65
72,189.54
73,189.77
74,193.88
75,195.47
76,192.53
77,193.03
78,193.4
79,194.78
80,191.49
81,193.26
82,182.58
83,183.78
84,181.44
85,178.28
86,178.78
87,178.87
88,179.65
89,179.1
90,177.51
91,177.82
92,177.58
93,174.93
94,175.72
95,176.02
96,173.54
97,174.2
98,168.7
99,166.69
100,165.55
101,165.87
102,167.68
103,166.29
104,164.34
105,166.08
106,165.44
107,161.57
108,160.47
109,165.98
110,170.17
111,173.37
112,171.92
113,172.07
114,169.6
115,169.13
116,172.51
117,171.26
118,167.37
119,162.28
120,161.45
121,162.81
122,164.13
123,164.62
124,161.89
125,160.04
126,162.56
127,162.29
128,162.5
129,163.95
130,164.07
131,165.04
132,165.79
133,167.33
134,166.38
135,170.49
136,171.16
137,169.25
138,165.71
139,166.69
140,150.42
141,144.19
142,147.47
143,149.01
144,145.83
145,144.3
146,147.57
147,150.04
148,148.3
149,147.54
150,148.95
151,145.39
152,143.8
153,144.2
154,144.23
155,142.53
156,138.05
157,137.95
158,131.74
159,135.68
160,131.09
161,133.2
162,134.52
163,134.18
164,124.06
165,124.95
166,133.4
167,133.24
168,143.66
169,140.19
170,144.06
171,145.01
172,144.5
173,142.08
174,141.85
175,137.42
176,139.63
177,137.93
178,141.09
179,140.61
180,138.68
181,136.76
182,135.0
183,136.38
184,131.73
185,134.82
186,132.43
187,131.55
188,139.53
189,143.85
190,144.22
191,142.16
192,141.55
193,144.96
194,147.87
195,151.53
196,149.94
197,148.68
198,150.35
199,151.75
200,151.79
201,146.22
202,142.09
203,145.37
204,150.95
205,146.04
206,154.39
207,154.78
208,154.05
209,154.92
210,159.42
211,158.78
212,153.52
213,153.74
214,153.35
215,151.38
216,157.9
217,157.25
218,157.33
219,158.85
220,162.43
221,159.33
222,162.44
223,164.46
224,168.84
225,166.95
226,164.91
227,165.41
228,162.93
229,166.02
230,163.06
231,160.3
232,160.58
233,162.32
234,161.36
235,162.0
236,165.94
237,164.18
238,163.04
239,162.53
240,167.18
241,171.16
242,175.73
243,177.64
244,175.9
245,176.26
246,177.46
247,174.65
248,172.9
249,173.64
250,172.62
251,172.5
252,173.8
253,174.7
254,179.53
255,181.11
256,180.05
257,180.26
258,183.09
259,185.18
260,183.81
261,185.69
262,177.78
263,176.37
264,171.65
265,172.58
266,171.06
267,174.89
268,176.26
269,217.5
270,214.67
271,210.91
272,209.94
273,208.09
274,209.36
275,209.99
276,207.23
277,207.32
278,206.92
279,202.54
280,203.54
281,204.74
282,203.23
283,198.45
284,192.73
285,197.36
286,194.32
287,196.23
288,195.84
289,199.0
290,196.35
291,201.74
292,201.5
293,202.0
294,197.49
295,198.31
296,195.85
297,196.81
298,192.41
299,192.4
300,191.54
301,189.1
302,188.18
303,191.34
304,192.94
305,193.28
306,193.99
307,191.78
308,187.67
309,185.74
310,184.92
311,185.93
312,186.9
313,183.8
314,184.49
315,182.68
316,183.76
317,183.2
318,184.32
319,186.64
320,186.99
321,185.53
322,182.66
323,178.92
324,177.97
325,176.61
326,174.02
327,176.07
328,173.86
329,172.0
330,173.59
331,174.16
332,159.69
333,159.69
334,165.84
335,166.28
336,168.1
337,166.36
338,168.66
339,164.83
340,164.52
341,163.87
342,166.32
343,165.04
344,157.93
345,157.2
346,159.34
347,155.1
348,156.11
349,155.39
350,159.79
351,153.03
352,152.22
353,160.06
354,159.39
355,164.89
356,169.39
357,168.15
358,172.56
359,185.09
360,183.86
361,184.19
362,181.88
363,184.76
364,185.23
365,182.34
366,183.71
367,179.78
368,180.4
369,176.62
370,175.94
371,178.32
372,181.46
373,184.93
374,183.29
375,178.99
376,177.91
377,176.01
378,177.36
379,179.96
380,179.52
381,173.15
382,176.41
383,176.11
384,171.58
385,180.18
386,185.31
387,181.26
388,190.28
389,193.09
390,186.89
391,187.12
392,185.98
393,190.0
394,187.48
395,186.55
396,189.35
397,185.37
398,181.29
399,179.8
400,177.6
401,178.39
402,179.37
403,187.77
404,187.84
405,187.87
406,188.28
407,186.85
408,184.33
409,184.67
410,181.42
411,176.46
412,177.92
413,177.62
414,175.99
415,177.2
416,177.45
417,177.89
418,179.51
419,180.82
420,180.18
421,178.39
422,178.3
423,176.96
424,179.04
425,179.0
426,180.14
427,176.06
428,172.83
429,171.47
430,175.1
431,177.18
432,175.13
433,182.42
434,183.03
435,182.78
436,180.87
437,181.86
438,178.74
439,179.0
440,179.59
441,177.95
442,178.07
443,178.77
444,178.46
445,179.3
446,179.56
447,180.25
448,180.17
449,178.92
450,178.92
451,182.66
452,180.06
453,179.87
454,177.88
455,170.63
456,170.6
457,171.8
458,171.27
459,174.98
460,174.56
461,176.03
462,176.11
463,174.52
464,173.74
465,172.55
466,172.74
467,171.59
468,172.5
469,172.23
470,171.24
471,168.42
472,169.96
473,169.47
474,170.87
475,168.73
476,167.68
477,164.21
478,162.87
479,170.54
480,171.11
481,172.17
482,172.52
483,170.01
484,171.64
485,170.96
486,173.05
487,172.96
488,173.51
489,170.95
490,173.21
491,172.09
492,170.72
493,172.02
494,171.97
495,169.92
496,168.05
497,167.24
498,166.32
499,167.74
