,Close
0,1560.800048828125
1,1359.5999755859375
2,1494.699951171875
3,1752.449951171875
4,1798.75
5,1782.5999755859375
6,1736.449951171875
7,1699.5999755859375
8,1636.699951171875
9,1600.8499755859375
10,1648.3499755859375
11,1604.449951171875
12,1577.5
13,1553.4000244140625
14,1593.949951171875
15,1567.550048828125
16,1555.050048828125
17,1496.050048828125
18,1379.949951171875
19,1399.3499755859375
20,1321.0
21,1304.0
22,1311.449951171875
23,1342.199951171875
24,1348.800048828125
25,1369.550048828125
26,1344.949951171875
27,1353.5
28,1341.550048828125
29,1327.949951171875
30,1334.550048828125
31,1339.800048828125
32,1317.75
33,1288.3499755859375
34,1254.050048828125
35,1231.5999755859375
36,1158.050048828125
37,1119.6500244140625
38,1082.699951171875
39,1031.800048828125
40,1118.5999755859375
41,1105.300048828125
42,1041.6500244140625
43,997.3499755859376
44,995.3499755859376
45,960.2999877929688
46,917.4500122070312
47,914.7999877929688
48,893.7000122070312
49,903.0499877929688
50,916.8499755859376
51,965.5999755859376
52,957.0999755859376
53,944.5
54,953.2999877929688
55,957.5499877929688
56,937.9500122070312
57,941.5
58,938.3499755859376
59,906.5
60,863.5
61,851.5
62,861.3499755859375
63,849.9500122070312
64,833.4000244140625
65,807.7000122070312
66,815.9000244140625
67,821.9500122070312
68,777.75
69,789.3499755859375
70,798.0999755859375
71,797.2000122070312
72,796.2999877929688
73,784.8499755859375
74,753.4500122070312
75,737.75
76,749.8499755859375
77,775.5999755859375
78,775.0499877929688
79,674.7999877929688
80,592.4500122070312
81,634.0499877929688
82,597.0499877929688
83,565.7000122070312
84,544.0
85,524.2999877929688
86,574.3499755859375
87,546.0
88,535.5499877929688
89,524.7999877929688
90,541.2999877929688
91,528.4500122070312
92,571.2999877929688
93,610.5499877929688
94,609.0499877929688
95,637.2000122070312
96,624.1500244140625
97,616.9500122070312
98,687.6500244140625
99,699.0999755859375
100,691.2000122070312
101,661.3499755859375
102,656.6500244140625
103,639.3499755859375
104,641.1500244140625
105,625.5999755859375
106,599.0499877929688
107,613.4000244140625
108,592.0999755859375
109,582.25
110,581.6500244140625
111,601.0999755859375
112,583.2000122070312
113,575.2000122070312
114,568.0
115,556.2000122070312
116,545.7999877929688
117,530.5999755859375
118,515.9000244140625
119,543.1500244140625
120,591.5
121,585.7000122070312
122,588.2000122070312
123,553.75
124,575.5
125,619.3499755859375
126,646.4500122070312
127,594.0999755859375
128,606.0
129,616.2999877929688
130,643.5
131,652.9500122070312
132,654.4000244140625
133,634.2999877929688
134,623.4500122070312
135,614.5
136,617.7999877929688
137,615.2999877929688
138,623.1500244140625
139,600.5
140,582.25
141,606.5
142,617.0999755859375
143,613.9500122070312
144,630.1500244140625
145,644.3499755859375
146,638.5
147,621.7000122070312
148,628.0
149,648.0499877929688
150,701.3499755859375
151,707.0999755859375
152,705.6500244140625
153,675.7000122070312
154,657.0
155,644.75
156,656.25
157,690.75
158,690.75
159,698.75
160,709.5999755859375
161,697.0999755859375
162,707.75
163,718.3499755859375
164,709.3499755859375
165,731.0499877929688
166,737.4000244140625
167,736.6500244140625
168,745.0
169,743.0499877929688
170,758.0
171,698.9000244140625
172,713.7999877929688
173,715.7000122070312
174,706.7999877929688
175,744.3499755859375
176,755.7000122070312
177,804.5499877929688
178,809.0499877929688
179,784.2999877929688
180,834.9500122070312
181,826.75
182,825.7999877929688
183,787.2999877929688
184,783.9000244140625
185,784.7000122070312
186,786.2000122070312
187,772.0999755859375
188,776.3499755859375
189,776.2000122070312
190,768.2999877929688
191,768.7000122070312
192,762.0499877929688
193,726.4000244140625
194,717.8499755859375
195,732.3499755859375
196,727.2000122070312
197,708.7000122070312
198,709.4500122070312
199,706.75
200,707.0
201,727.9000244140625
202,736.6500244140625
203,735.7000122070312
204,725.6500244140625
205,729.75
206,718.5999755859375
207,706.9500122070312
208,697.4500122070312
209,684.5499877929688
210,685.0
211,692.5999755859375
212,657.5
213,660.0
214,643.2000122070312
215,632.1500244140625
216,637.9500122070312
217,660.0
218,674.9500122070312
219,688.5999755859375
220,707.4500122070312
221,727.25
222,708.0999755859375
223,700.7000122070312
224,686.0999755859375
225,681.5
226,672.5499877929688
227,662.4500122070312
228,652.4500122070312
229,632.75
230,629.5999755859375
231,637.5
232,656.3499755859375
233,649.8499755859375
234,642.8499755859375
235,638.4000244140625
236,642.9000244140625
237,642.5999755859375
238,643.0499877929688
239,650.3499755859375
240,651.25
241,643.6500244140625
242,626.9000244140625
243,632.0
244,638.5499877929688
245,626.5
246,601.4500122070312
247,539.7999877929688
248,547.0
249,537.0
250,476.7999877929688
251,452.3999938964844
252,441.1000061035156
253,465.2000122070313
254,461.5
255,483.8999938964844
256,481.7000122070313
257,501.0499877929688
258,536.9500122070312
259,523.3499755859375
260,514.6500244140625
261,509.8999938964844
262,508.2000122070313
263,544.5999755859375
264,528.75
265,539.4000244140625
266,529.2000122070312
267,531.7000122070312
268,528.0
269,523.5
270,526.75
271,517.0999755859375
272,506.5499877929688
273,476.1000061035156
274,504.3500061035156
275,512.8499755859375
276,535.5499877929688
277,527.2000122070312
278,531.0
279,532.0999755859375
280,535.4500122070312
281,540.2999877929688
282,541.5
283,551.3499755859375
284,563.9000244140625
285,575.5499877929688
286,579.1500244140625
287,543.2000122070312
288,560.0999755859375
289,553.5499877929688
290,526.0999755859375
291,531.7000122070312
292,531.9500122070312
293,550.8499755859375
294,544.0499877929688
295,543.5499877929688
296,532.9500122070312
297,513.4000244140625
298,534.0999755859375
299,530.9000244140625
300,523.8499755859375
301,545.6500244140625
302,524.9500122070312
303,558.2999877929688
304,588.5999755859375
305,675.9500122070312
306,705.9500122070312
307,650.5499877929688
308,654.0
309,642.7000122070312
310,640.0499877929688
311,628.9000244140625
312,626.8499755859375
313,630.5
314,623.0499877929688
315,608.3499755859375
316,606.5499877929688
317,623.5
318,635.0999755859375
319,597.25
320,608.25
321,604.4000244140625
322,627.9000244140625
323,625.6500244140625
324,620.0999755859375
